date_mm_dd,leap_day_index,base_seasonal_color,light_background,light_text,light_slider_accent,dark_background,dark_text,dark_slider_accent
05-03,124,#7A9C4E,#E9E7E6,#283825,#7A9C4E,#243022,#E8E5E5,#CDC7BD
05-04,125,#7C9D4E,#E9E7E6,#283825,#7C9D4E,#243022,#E8E6E5,#CDC7BD
05-05,126,#7D9E4E,#E9E7E6,#283825,#7D9E4E,#243022,#E8E6E5,#CEC7BD
05-06,127,#7F9F4E,#E9E7E6,#283925,#7F9F4E,#243122,#E8E6E5,#CEC7BD
05-07,128,#81A04E,#E9E7E7,#293925,#81A04E,#243122,#E8E6E5,#CEC7BE
05-08,129,#83A14E,#E9E7E7,#293925,#83A14E,#243122,#E8E6E5,#CEC7BE
05-09,130,#85A24E,#E9E7E7,#293925,#85A24E,#243122,#E8E6E5,#CFC7BE
05-10,131,#87A34E,#EAE7E7,#293925,#87A34E,#243122,#E8E6E5,#CFC7BE
05-11,132,#89A44F,#EAE8E7,#293A26,#89A44F,#253123,#E8E6E5,#CFC8BF
05-12,133,#8BA54F,#EAE8E7,#2A3A26,#8BA54F,#253223,#E9E6E6,#CFC8BF
05-13,134,#8DA64F,#EAE8E7,#2A3A26,#8DA64F,#253223,#E9E6E6,#D0C8BF
05-14,135,#8FA74F,#EAE8E7,#2A3A26,#8FA74F,#253223,#E9E6E6,#D0C8BF
05-15,136,#91A84F,#EAE8E7,#2A3B26,#91A84F,#253223,#E9E6E6,#D0C8BF
05-16,137,#94AA4F,#EAE8E7,#2B3B26,#94AA4F,#253223,#E9E7E6,#D1C9C0
05-17,138,#97AC4F,#EAE8E8,#2B3B26,#97AC4F,#263323,#E9E7E6,#D1C9C0
05-18,139,#9AAE4F,#EBE8E8,#2B3C26,#9AAE4F,#263323,#E9E7E6,#D2C9C1
05-19,140,#9DB04F,#EBE8E8,#2B3C27,#9DB04F,#263323,#EAE7E6,#D2C9C1
05-20,141,#9FB150,#EBE9E8,#2C3D27,#9FB150,#263323,#EAE7E7,#D2CAC1
05-21,142,#A2B351,#EBE9E8,#2C3D27,#A2B351,#273424,#EAE8E7,#D3CAC2
05-22,143,#A5B452,#EBE9E9,#2C3E27,#A5B452,#273424,#EAE8E7,#D4CBC2
05-23,144,#A7B553,#ECE9E9,#2D3E27,#A7B553,#273524,#EAE8E7,#D4CBC3
05-24,145,#AAB654,#ECE9E9,#2D3E27,#AAB654,#273524,#EBE8E7,#D4CBC3
05-25,146,#ADB854,#ECEAE9,#2D3F27,#ADB854,#273524,#EBE8E8,#D5CCC3
05-26,147,#AFB955,#ECEAE9,#2E3F28,#AFB955,#283624,#EBE8E8,#D5CCC4
05-27,148,#B2BA56,#ECEAE9,#2E4028,#B2BA56,#283624,#EBE9E8,#D6CCC4
05-28,149,#B4BB57,#ECEAE9,#2E4028,#B4BB57,#283625,#EBE9E8,#D6CDC5
05-29,150,#B7BC58,#EDEAEA,#2F4128,#B7BC58,#283625,#ECE9E8,#D7CDC5
05-30,151,#BABE59,#EDEAEA,#2F4128,#BABE59,#293725,#ECE9E9,#D7CDC6
05-31,152,#BCBF5A,#EDEBEA,#2F4228,#BCBF5A,#293725,#ECE9E9,#D8CEC6
06-01,153,#BFC05B,#EDEBEA,#304229,#BFC05B,#293825,#ECEAE9,#D8CEC6
06-02,154,#C1C15C,#EDEBEA,#304229,#C1C15C,#293825,#ECEAE9,#D9CEC7
06-03,155,#C2C05D,#EEEBEB,#304329,#C2C05D,#2A3825,#EDEAE9,#D9CFC7
06-04,156,#C3C05E,#EEEBEB,#314329,#C3C05E,#2A3826,#EDEAE9,#D9CFC8
06-05,157,#C5C05F,#EEEBEB,#314429,#C5C05F,#2A3926,#EDEAEA,#DACFC8
06-06,158,#C6BF60,#EEECEB,#314429,#C6BF60,#2A3926,#EDEAEA,#DBD0C9
06-07,159,#C7BF61,#EEECEB,#324529,#C7BF61,#2B3A26,#EDEBEA,#DBD0C9
06-08,160,#C8BE62,#EEECEC,#32452A,#C8BE62,#2B3A26,#EEEBEA,#DBD0C9
06-09,161,#C9BE63,#EFECEC,#32462A,#C9BE63,#2B3A26,#EEEBEA,#DCD1CA
06-10,162,#CABE64,#EFECEC,#33462A,#CABE64,#2B3A26,#EEEBEB,#DCD1CA
06-11,163,#CBBD65,#EFECEC,#33462A,#CBBD65,#2C3B26,#EEEBEB,#DDD1CB
06-12,164,#CCBD66,#EFEDEC,#33472A,#CCBD66,#2C3B27,#EEEBEB,#DDD2CB
06-13,165,#CDBC67,#EFEDEC,#34472A,#CDBC67,#2C3B27,#EEECEB,#DED2CC
06-14,166,#CEBC68,#EFEDED,#34482A,#CEBC68,#2C3C27,#EFECEB,#DED2CC
06-15,167,#CFBB69,#F0EDED,#34482B,#CFBB69,#2D3C27,#EFECEC,#DED2CC
06-16,168,#D0BB6A,#F0EDED,#35492B,#D0BB6A,#2D3C27,#EFECEC,#DFD3CD
06-17,169,#D1BA6C,#F0EEED,#35492B,#D1BA6C,#2D3D27,#EFECEC,#DFD3CE
06-18,170,#D2BA6D,#F0EEED,#364A2B,#D2BA6D,#2D3D27,#EFEDEC,#E0D4CE
06-19,171,#D3B96E,#F0EEED,#364A2B,#D3B96E,#2E3E28,#F0EDEC,#E0D4CE
06-20,172,#D4B96F,#F1EEEE,#364B2B,#D4B96F,#2E3E28,#F0EDED,#E1D4CF
06-21,173,#D4B86E,#F0EEEE,#364A2B,#D4B86E,#2E3E28,#F0EDEC,#E1D4CF
06-22,174,#D3B76D,#F0EEED,#364A2B,#D3B76D,#2E3D27,#F0EDEC,#E0D4CE
06-23,175,#D3B76C,#F0EEED,#364A2B,#D3B76C,#2D3D27,#EFEDEC,#E0D3CE
06-24,176,#D3B66B,#F0EEED,#364A2B,#D3B66B,#2D3D27,#EFECEC,#E0D3CE
06-25,177,#D2B569,#F0EDED,#35492A,#D2B569,#2D3D27,#EFECEC,#DFD2CD
06-26,178,#D2B468,#F0EDED,#35492A,#D2B468,#2D3D27,#EFECEC,#DFD2CC
06-27,179,#D1B467,#F0EDED,#35482A,#D1B467,#2D3C27,#EFECEB,#DFD2CC
06-28,180,#D1B366,#F0EDED,#35482A,#D1B366,#2D3C27,#EFECEB,#DFD1CC
06-29,181,#D1B265,#F0EDEC,#35482A,#D1B265,#2D3C27,#EFECEB,#DFD1CB
06-30,182,#D0B164,#EFEDEC,#35482A,#D0B164,#2C3C26,#EFECEB,#DED1CB
07-01,183,#D0B163,#EFEDEC,#34482A,#D0B163,#2C3C26,#EEEBEB,#DED1CB
07-02,184,#D0B062,#EFECEC,#34472A,#D0B062,#2C3C26,#EEEBEB,#DED0CA
07-03,185,#CFAF61,#EFECEC,#344729,#CFAF61,#2C3B26,#EEEBEB,#DDD0CA
07-04,186,#CFAE60,#EFECEC,#344729,#CFAE60,#2C3B26,#EEEBEB,#DDD0CA
07-05,187,#CFAD5E,#EFECEC,#344729,#CFAD5E,#2C3B26,#EEEBEA,#DDCFC9
07-06,188,#CEAD5D,#EFECEB,#334629,#CEAD5D,#2C3B26,#EEEBEA,#DDCFC9
07-07,189,#CEAC5C,#EFECEB,#334629,#CEAC5C,#2B3A26,#EEEBEA,#DDCEC8
07-08,190,#CDAB5B,#EEECEB,#334629,#CDAB5B,#2B3A25,#EEEAEA,#DCCEC8
07-09,191,#CDAA5A,#EEEBEB,#334528,#CDAA5A,#2B3A25,#EEEAEA,#DCCEC8
07-10,192,#CDA959,#EEEBEB,#334528,#CDA959,#2B3A25,#EDEAEA,#DCCDC7
07-11,193,#CCA858,#EEEBEB,#334528,#CCA858,#2B3A25,#EDEAEA,#DBCDC7
07-12,194,#CCA857,#EEEBEB,#334528,#CCA857,#2B3925,#EDEAE9,#DBCDC7
07-13,195,#CCA756,#EEEBEB,#324528,#CCA756,#2B3925,#EDEAE9,#DBCCC6
07-14,196,#CBA655,#EEEBEA,#324428,#CBA655,#2B3925,#EDEAE9,#DBCCC6
