date_mm_dd,leap_day_index,base_seasonal_color,light_background,light_text,light_slider_accent,dark_background,dark_text,dark_slider_accent
11-15,320,#6F6874,#E7E6E6,#27322F,#6F6874,#232C28,#E5E5E5,#C3C1C2
11-16,321,#6F6875,#E7E6E6,#27322F,#6F6875,#232C28,#E5E5E5,#C4C1C3
11-17,322,#6F6977,#E7E6E7,#27332F,#6F6977,#232C28,#E6E5E5,#C5C1C3
11-18,323,#6F6978,#E7E7E7,#27332F,#6F6978,#232D28,#E6E5E5,#C5C1C4
11-19,324,#6E6A79,#E7E7E7,#27332F,#6E6A79,#242D28,#E6E5E5,#C5C2C4
11-20,325,#6E6A7B,#E7E7E7,#28342F,#6E6A7B,#242D28,#E6E5E6,#C6C2C5
11-21,326,#6D6A7C,#E8E7E7,#28342F,#6D6A7C,#242D28,#E6E5E6,#C6C2C5
11-22,327,#6C6B7D,#E8E7E7,#28342F,#6C6B7D,#242D28,#E6E6E6,#C7C3C6
11-23,328,#6B6B7F,#E8E7E7,#28352F,#6B6B7F,#242E28,#E7E6E6,#C7C3C6
11-24,329,#6C6D80,#E8E7E8,#28352F,#6C6D80,#242E28,#E7E6E6,#C8C3C7
11-25,330,#6C6F82,#E8E8E8,#28362F,#6C6F82,#242E28,#E7E6E6,#C8C4C8
11-26,331,#6C7183,#E8E8E8,#29362F,#6C7183,#242F28,#E7E6E7,#C8C4C8
11-27,332,#6D7384,#E9E8E8,#29362F,#6D7384,#252F29,#E7E6E7,#C9C4C9
11-28,333,#6D7686,#E9E8E8,#29362F,#6D7686,#252F29,#E7E7E7,#C9C5C9
11-29,334,#6D7887,#E9E8E8,#29372F,#6D7887,#252F28,#E8E7E7,#CAC5CA
11-30,335,#6E7B89,#E9E8E9,#29372F,#6E7B89,#253029,#E8E7E7,#CAC5CA
12-01,336,#6E7E8A,#E9E8E9,#29372F,#6E7E8A,#253029,#E8E7E7,#CAC5CB
12-02,337,#6F8290,#EAE9E9,#2A3930,#6F8290,#263129,#E9E8E8,#CCC7CC
12-03,338,#718696,#EBE9EA,#2B3A31,#718696,#26322A,#E9E8E9,#CEC8CE
12-04,339,#738A9B,#EBEAEB,#2B3C32,#738A9B,#27332B,#EAE9E9,#D0C9D0
12-05,340,#758EA0,#ECEBEB,#2C3D33,#758EA0,#27342B,#EBE9EA,#D1CAD2
12-06,341,#7792A5,#ECEBEC,#2C3F34,#7792A5,#28352C,#EBEAEB,#D3CBD4
12-07,342,#7996AA,#EDECEC,#2D4034,#7996AA,#28362D,#ECEAEB,#D5CDD5
12-08,343,#7C9AAF,#EEECED,#2D4235,#7C9AAF,#29372D,#EDEBEC,#D6CED7
12-09,344,#7E9EB3,#EEEDED,#2E4336,#7E9EB3,#29382E,#EDECEC,#D8CFD9
12-10,345,#81A2B8,#EFEDEE,#2E4537,#81A2B8,#2A3A2F,#EEECED,#DAD1DA
12-11,346,#84A5BC,#F0EEEF,#2F4638,#84A5BC,#2A3B2F,#EFEDEE,#DBD2DC
12-12,347,#87A9C0,#F0EFEF,#304739,#87A9C0,#2B3C30,#EFEEEE,#DDD4DE
12-13,348,#8AADC4,#F1EFF0,#30493A,#8AADC4,#2B3D30,#F0EEEF,#DED5DF
12-14,349,#8DB1C8,#F1F0F1,#304A3B,#8DB1C8,#2B3E31,#F1EFF0,#E0D6E1
12-15,350,#91B5CC,#F2F0F1,#314C3C,#91B5CC,#2C3F32,#F1F0F0,#E1D8E2
12-16,351,#94B9D0,#F3F1F2,#314E3C,#94B9D0,#2C4032,#F2F0F1,#E3D9E4
12-17,352,#98BCD3,#F3F2F2,#324F3D,#98BCD3,#2D4233,#F3F1F2,#E4DBE5
12-18,353,#9CC0D7,#F4F2F3,#32513E,#9CC0D7,#2D4334,#F3F2F2,#E6DDE7
12-19,354,#A0C4DA,#F5F3F4,#33523F,#A0C4DA,#2E4434,#F4F2F3,#E7DEE8
12-20,355,#A4C7DD,#F5F4F4,#335440,#A4C7DD,#2E4535,#F5F3F4,#E9E0EA
12-21,356,#A8CBE0,#F6F4F5,#345541,#A8CBE0,#2E4636,#F5F3F4,#EAE1EB
12-22,357,#A8CBDF,#F6F4F5,#345540,#A8CBDF,#2E4636,#F5F3F4,#EAE1EB
12-23,358,#A8CBDF,#F6F4F5,#345540,#A8CBDF,#2E4636,#F5F3F4,#EAE1EB
12-24,359,#A9CADE,#F6F4F5,#345541,#A9CADE,#2F4636,#F5F3F4,#EAE1EB
12-25,360,#A9CADE,#F6F4F5,#345541,#A9CADE,#2F4636,#F5F3F4,#EAE1EB
12-26,361,#A9CADD,#F6F4F5,#345441,#A9CADD,#2F4536,#F5F3F4,#E9E1EA
12-27,362,#A9CADC,#F5F4F5,#345440,#A9CADC,#2F4535,#F5F3F4,#E9E1EA
12-28,363,#A9CADC,#F5F4F5,#345440,#A9CADC,#2F4535,#F5F3F4,#E9E1EA
12-29,364,#AAC9DB,#F5F4F5,#355441,#AAC9DB,#2F4536,#F5F3F4,#E9E1EA
12-30,365,#AAC9DB,#F5F4F5,#355441,#AAC9DB,#2F4536,#F5F3F4,#E9E1EA
12-31,366,#AAC9DA,#F5F4F5,#355340,#AAC9DA,#2F4536,#F5F3F4,#E9E1EA
